# Sigma	Accuracy
0.001	0.9838
0.005	0.9560
0.01	0.9343
0.015	0.9203
0.02	0.8771
0.03	0.8645
0.04	0.7796
0.05	0.7078
0.06	0.5936
0.07	0.5928
0.08	0.5640
0.1	0.4571
