file: LJGP, epsilon: 0.1, r0: 1.01
# Creating pair table LJGP with 301 points from 0.01 to 3.01

LJGP
N 301 R 0.01 3.01 FPRIME  1.56002001837493e+30  -0.0124354487576205   

       1  0.01                   9.99999999998e+23      1.1999999999988e+27  
       2  0.02                   2.4414062496875e+20    1.46484374990625e+23 
       3  0.03                   1.88167642041544e+18   7.52670568714872e+20 
       4  0.04                   5.96046442871094e+16   1.7881393359375e+19  
       5  0.05                   4.095999872e+15        9.8303998464e+17     
       6  0.06                   459393615130842        9.18787273128624e+16 
       7  0.07                   72247598809289.4       1.23853041101399e+16 
       8  0.08                   14551907598972.3       2.18278671205044e+15 
       9  0.09                   3540702398119.3        472093903972763      
      10  0.1                    999998000000           119999880000000      
      11  0.11                   318629688762.497       34759663989428.4     
      12  0.12                   112155984988.662       11215631988663.9     
      13  0.13                   42921568065.5694       3962010022318.2      
      14  0.14                   17638312457.754        1511866737262.51     
      15  0.15                   7707171046.26853       616580707021.099     
      16  0.16                   3552594469.51095       266449055561.679     
      17  0.17                   1716295158.27708       121153170880.227     
      18  0.18                   864371412.814936       57626720933.9365     
      19  0.19                   451768476.15516        28534088336.9134     
      20  0.2                    244109375              14647500000          
      21  0.21                   135923316.066111       7767712896.09619     
      22  0.22                   77773087.1697535       4242649476.8133      
      23  0.23                   45618118.2261692       2380428174.51419     
      24  0.24                   27371530.2352538       1368838150.80698     
      25  0.25                   16769023.9999999       805109760.000002     
      26  0.26                   10472525.3571726       483496730.098621     
      27  0.27                   6657300.95579212       295994761.359291     
      28  0.28                   4302143.15402002       184466499.218257     
      29  0.29                   2822975.18579907       116882332.025157     
      30  0.3                    1878932.93893362       75212187.2418695     
      31  0.31                   1267325.32396199       49101370.833017      
      32  0.32                   865499.092838495       32491140.5780404     
      33  0.33                   598011.472053965       21774028.535166      
      34  0.34                   417742.939447726       14766715.4325157     
      35  0.35                   294838.252303539       10127391.1999319     
      36  0.36                   210123.745690001       7019437.97843694     
      37  0.37                   151128.026799511       4914090.16138752     
      38  0.38                   109641.171763429       3472840.87473125     
      39  0.39                   80196.8976777137       2476341.23152472     
      40  0.4                    59116.363516271        1780815.12478987     
      41  0.41                   43898.3409948535       1290991.10387225     
      42  0.42                   32825.7335048631       943083.286627332     
      43  0.43                   24708.8687586177       693964.53583562      
      44  0.44                   18716.2546382804       514201.792283254     
      45  0.45                   14261.8778158587       383528.138337147     
      46  0.46                   10929.4367819581       287869.190038905     
      47  0.47                   8420.9404616729        217371.363403569     
      48  0.48                   6521.53307579775       165082.386520101     
      49  0.49                   5075.22264254522       126060.501975885     
      50  0.5                    3967.99985003147       96768.0038241975     
      51  0.51                   3116.00751721722       74655.0137372541     
      52  0.52                   2457.18900853018       57871.6072600844     
      53  0.53                   1945.35124892395       45067.231078666      
      54  0.54                   1545.91584358836       35249.9449300924     
      55  0.55                   1232.85866211871       27686.9679120816     
      56  0.56                   986.491764222073       21833.9454336232     
      57  0.57                   791.84621474706        17284.3235956083     
      58  0.58                   637.486219312955       13732.8936774703     
      59  0.59                   514.63472276045        10949.3860028717     
      60  0.6                    416.525221169224       8759.23441398092     
      61  0.61                   337.91878850656        7029.48745594885     
      62  0.62                   274.742417389693       5658.4346688528      
      63  0.63                   223.81690186977        4567.92935566225     
      64  0.64                   182.651143281242       3697.67889662124     
      65  0.65                   149.285968582359       3000.97810998929     
      66  0.66                   122.175029172376       2441.50624071099     
      67  0.67                   100.093595876271       1990.91169113287     
      68  0.68                   82.0684329057175       1626.98288592003     
      69  0.69                   67.3236674030131       1332.25722938689     
      70  0.7                    55.2388471602142       1092.9589369922      
      71  0.71                   45.3163225107753       898.184798220109     
