# Sigma	Accuracy
0.001	0.9968
0.005	0.9674
0.01	0.8773
0.015	0.7727
0.02	0.6932
0.03	0.573
0.04	0.4931
0.05	0.1552
0.06	0.0009
0.07	0.0
0.08	0.0
0.1	0.0
