# Sigma	Accuracy
0.001	1.0
0.005	1.0
0.01	1.0
0.015	0.9995
0.02	0.9988
0.03	0.9912
0.04	0.9853
0.05	0.9674
0.06	0.6557
0.07	0.4787
0.08	0.2271
0.1	0.1308
