2,-10.74534915815505
3,-10.710273807818679
4,-10.69650968540478
5,-10.690645321777463
6,-10.681392550237828
7,-10.66560158578872
8,-10.679737024238564
9,-10.67449140687111
10,-10.64512532902504
11,-10.617732587519937
12,-10.629746932140968
13,-10.601673879520378
14,-10.608875795303295
15,-10.612667472304137
16,-10.601610659728925
17,-10.566638881472672
18,-10.569940099806415
19,-10.546863899124457
20,-10.56265338211522
21,-10.542891690335297
22,-10.529357370439588
23,-10.538184557137992
24,-10.512754243524874
25,-10.518932118045415
26,-10.46898886062255
27,-10.475875264226042
28,-10.472560420853855
29,-10.404778147374353
2,-10.767395219585806
3,-10.71498293142879
4,-10.728001257884099
5,-10.719467396811
6,-10.674445252246606
7,-10.680518281747002
8,-10.659454418954818
9,-10.677725776921724
10,-10.652426024659718
11,-10.6367783351219
12,-10.636271470663502
13,-10.643983305567165
14,-10.607344657783377
15,-10.606994040371765
16,-10.577699472686822
17,-10.561287730217494
18,-10.5763826953204
19,-10.58410985392186
2,-10.79095184206522
3,-10.71636152327052
4,-10.69218724076325
5,-10.692187070841417
6,-10.676074603018266
7,-10.682986720842468
8,-10.674590701213093
9,-10.65612743872015
10,-10.659210079279676
11,-10.618594264300292
12,-10.617755157628308
13,-10.612590300872512
14,-10.618071687500167
15,-10.591577634719432
16,-10.589562103398386
17,-10.581719722607604
18,-10.565717162423345
19,-10.546533721028311
2,-7.152191660071535
3,-7.151623019615848
4,-7.142796558771226
5,-7.116567402991694
6,-7.141959239584839
7,-7.135660334098657
8,-7.137455972015616
9,-7.129095085143621
10,-7.130797334520234
11,-7.12496939881195
12,-7.105977607214814
13,-7.074292242220945
14,-7.08138370232829
15,-7.088847376639379
16,-7.092340781691665
17,-7.106001997274029
18,-7.070791879142826
19,-7.083366792645171
2,-14.543875508228933
3,-14.339090713721475
4,-14.333405311141213
5,-14.244916090319995
6,-14.273738812763217
7,-14.139725416398214
8,-14.146926277863345
9,-14.09180798754766
10,-14.103169902651642
11,-14.088341416557233
12,-14.159423000712279
13,-14.060088122614042
14,-14.080547530275151
15,-14.16182326065246
16,-14.045862836385734
17,-14.046566671394151
18,-14.010289012430215
19,-13.95091735739561
2,-10.677370756242714
3,-10.589429926455953
4,-10.555665151976086
5,-10.548078125693753
6,-10.514647648951849
7,-10.48896357414409
8,-10.475355969966596
9,-10.454018421074936
10,-10.453499320951956
11,-10.42027183537217
12,-10.41117837593398
13,-10.410157213456577
14,-10.386369304840574
15,-10.366468429109993
16,-10.353108608092226
17,-10.3507053264965
18,-10.345304609604364
19,-10.329723971296062
2,-10.870934057047076
3,-10.77759098583339
4,-10.756199698191983
5,-10.71881287398909
6,-10.750288787284928
7,-10.73374663168501
8,-10.74461969397228
9,-10.708164856043014
10,-10.672901007061126
11,-10.705023153960367
12,-10.66951447155524
13,-10.668670319986647
14,-10.683490228976817
15,-10.653189777017705
16,-10.640658996639543
17,-10.617699368652573
18,-10.615469866705986
19,-10.606915719743645
2,-10.696789428286937
3,-10.645063692545191
4,-10.644475101349128
5,-10.62264437706048
6,-10.616438380113632
7,-10.603758694845459
8,-10.586189532084074
9,-10.589389180647185
10,-10.55876832747327
11,-10.575709032705719
12,-10.5473841743914
13,-10.517593733114586
14,-10.502093660879774
15,-10.508604436927254
16,-10.473221175009916
17,-10.500722777258714
18,-10.494852168050524
19,-10.472942328430872
2,-11.045336639052461
3,-10.867105945426683
4,-10.863616821946284
5,-10.847958310116205
6,-10.880636351913171
7,-10.835153127605036
8,-10.834943346251686
9,-10.837039368408561
10,-10.8093474705929
11,-10.819198150203428
12,-10.78422189282108
13,-10.803795799418484
14,-10.8255233579299
15,-10.778501904521363
16,-10.768056823593984
17,-10.763774376601715
18,-10.741521962181594
19,-10.765134203358873
