2000  2.1000  1.1100
2001  2.1000  1.1200
2002  2.1000  1.1300
2003  2.1000  1.1400
2004  2.1000  1.1500
2005  2.1000  1.1600
2006  2.1000  1.1700
2007  2.1000  1.1800
2008  2.1000  1.1900
2009  2.1000  1.2000
2010  2.1000  1.2100
2011  2.1000  1.2200
2012  2.1000  1.2300
2013  2.1000  1.2400
2014  2.1000  1.2500
2015  2.1000  1.2600
2016  2.1000  1.2700
2017  2.1000  1.2800
2018  2.1000  1.2900
2019  2.1000  1.3000
2020  2.1000  1.3100
2021  2.1000  1.3200
2022  2.1000  1.3300
2023  2.1000  1.3400
2024  2.1000  1.3500
2025  2.1000  1.3600
2026  2.1000  1.3700
2027  2.1000  1.3800
2028  2.1000  1.3900
2029  2.1000  1.4000
2030  2.1000  1.4100
2031  2.1000  1.4200
2032  2.1000  1.4300
2033  2.1000  1.4400
2034  2.1000  1.4500
2035  2.1000  1.4600
2036  2.1000  1.4700
2037  2.1000  1.4800
2038  2.1000  1.4900
2039  2.1000  1.5000
2040  2.1000  1.5100
2041  2.1000  1.5200
2042  2.1000  1.5300
2043  2.1000  1.5400
2044  2.1000  1.5500
2045  2.1000  1.5600
2046  2.1000  1.5700
2047  2.1000  1.5800
2048  2.1000  1.5900
2049  2.1000  1.6000
2050  2.1000  1.6100
2051  2.1000  1.6200
2052  2.1000  1.6300
2053  2.1000  1.6400
2054  2.1000  1.6500
2055  2.1000  1.6600
2056  2.1000  1.6700
2057  2.1000  1.6800
2058  2.1000  1.6900
2059  2.1000  1.7000
2060  2.1000  1.7100
2061  2.1000  1.7200
2062  2.1000  1.7300
2063  2.1000  1.7400
2064  2.1000  1.7500
2065  2.1000  1.7600
2066  2.1000  1.7700
2067  2.1000  1.7800
2068  2.1000  1.7900
2069  2.1000  1.8000
2070  2.1000  1.8100
2071  2.1000  1.8200
2072  2.1000  1.8300
2073  2.1000  1.8400
2074  2.1000  1.8500
2075  2.1000  1.8600
2076  2.1000  1.8700
2077  2.1000  1.8800
2078  2.1000  1.8900
2079  2.1000  1.9000
2080  2.1000  1.9100
2081  2.1000  1.9200
2082  2.1000  1.9300
2083  2.1000  1.9400
2084  2.1000  1.9500
2085  2.1000  1.9600
2086  2.1000  1.9700
2087  2.1000  1.9800
2088  2.1000  1.9900
2089  2.1000  2.0000
2090  2.1000  2.0100
2091  2.1000  2.0200
2092  2.1000  2.0300
2093  2.1000  2.0400
2094  2.1000  2.0500
2095  2.1000  2.0600
2096  2.1000  2.0700
2097  2.1000  2.0800
2098  2.1000  2.0900
2099  2.1000  2.1000
2100  2.2000  1.1100
2101  2.2000  1.1200
2102  2.2000  1.1300
2103  2.2000  1.1400
2104  2.2000  1.1500
2105  2.2000  1.1600
2106  2.2000  1.1700
2107  2.2000  1.1800
2108  2.2000  1.1900
2109  2.2000  1.2000
2110  2.2000  1.2100
2111  2.2000  1.2200
2112  2.2000  1.2300
2113  2.2000  1.2400
2114  2.2000  1.2500
2115  2.2000  1.2600
2116  2.2000  1.2700
2117  2.2000  1.2800
2118  2.2000  1.2900
2119  2.2000  1.3000
2120  2.2000  1.3100
2121  2.2000  1.3200
2122  2.2000  1.3300
2123  2.2000  1.3400
2124  2.2000  1.3500
2125  2.2000  1.3600
2126  2.2000  1.3700
2127  2.2000  1.3800
2128  2.2000  1.3900
2129  2.2000  1.4000
2130  2.2000  1.4100
2131  2.2000  1.4200
2132  2.2000  1.4300
2133  2.2000  1.4400
2134  2.2000  1.4500
2135  2.2000  1.4600
2136  2.2000  1.4700
2137  2.2000  1.4800
2138  2.2000  1.4900
2139  2.2000  1.5000
2140  2.2000  1.5100
2141  2.2000  1.5200
2142  2.2000  1.5300
2143  2.2000  1.5400
2144  2.2000  1.5500
2145  2.2000  1.5600
2146  2.2000  1.5700
2147  2.2000  1.5800
2148  2.2000  1.5900
2149  2.2000  1.6000
2150  2.2000  1.6100
2151  2.2000  1.6200
2152  2.2000  1.6300
2153  2.2000  1.6400
2154  2.2000  1.6500
